Date,Open,High,Low,Close,Volume
2023-03-10,13.6,13.8,13.44,13.47,85319.0
2023-03-13,13.41,13.52,13.06,13.18,129557.0
2023-03-14,13.19,13.33,12.7,13.33,143891.0
2023-03-15,13.25,14.26,13.25,13.98,271137.0
2023-03-16,13.88,14.08,13.7,13.82,162267.0
2023-03-17,13.92,14.13,13.7,14.11,258467.0
2023-03-20,14.13,14.2,13.83,14.04,195585.0
2023-03-21,14.15,14.15,13.85,13.98,130333.0
2023-03-22,14.02,14.24,13.9,14.17,180719.0
2023-03-23,14.06,14.36,14.0,14.29,223083.0
2023-03-24,14.29,14.84,14.29,14.69,296569.0
2023-03-27,14.91,14.94,14.53,14.61,256513.0
2023-03-28,14.55,14.6,14.07,14.09,186164.0
2023-03-29,14.09,14.94,14.04,14.61,245332.0
2023-03-30,14.68,15.0,14.49,14.55,199532.0
2023-03-31,14.44,14.64,14.32,14.57,125097.0
2023-04-03,14.57,14.72,14.38,14.69,171889.0
2023-04-04,14.74,14.77,14.24,14.48,217557.0
2023-04-06,14.3,15.1,14.15,15.1,378976.0
2023-04-07,15.11,15.27,14.85,15.19,365865.0
2023-04-10,15.25,15.54,14.88,15.03,304701.0
2023-04-11,15.09,15.29,14.71,14.96,240031.0
2023-04-12,14.92,15.06,14.59,14.88,250981.0
2023-04-13,14.78,14.8,13.91,13.93,359458.0
2023-04-14,13.99,15.12,13.7,14.86,392481.0
2023-04-17,14.85,15.08,14.55,14.69,209817.0
2023-04-18,14.64,14.78,14.14,14.47,189772.0
2023-04-19,14.38,14.85,14.32,14.53,160665.0
2023-04-20,14.6,15.15,14.35,15.14,345617.0
2023-04-21,15.25,16.1,14.16,14.16,542377.0
2023-04-24,13.8,14.41,13.24,13.42,303597.0
2023-04-25,13.34,13.4,12.32,12.63,246141.0
2023-04-26,12.49,12.62,11.95,12.08,205217.0
2023-04-27,12.0,12.25,11.86,11.93,151515.0
2023-04-28,11.91,12.24,11.9,12.15,124788.0
2023-05-04,12.17,12.29,11.8,11.89,143467.0
2023-05-05,11.88,11.92,11.4,11.67,146928.0
2023-05-08,11.7,11.95,11.61,11.85,126453.0
2023-05-09,11.82,11.92,11.48,11.52,134171.0
2023-05-10,11.5,11.62,11.41,11.54,81976.0
2023-05-11,11.6,11.71,11.54,11.66,68553.0
2023-05-12,11.65,11.76,11.39,11.39,76973.0
2023-05-15,11.39,11.51,11.08,11.49,66024.0
2023-05-16,11.49,11.62,11.37,11.45,72850.0
2023-05-17,11.45,11.69,11.45,11.62,100529.0
2023-05-18,11.63,11.76,11.61,11.74,93700.0
2023-05-19,11.75,12.05,11.7,11.99,130566.0
2023-05-22,12.08,12.18,11.81,11.86,97994.0
2023-05-23,11.84,11.84,11.57,11.62,68276.0
2023-05-24,11.54,11.85,11.53,11.67,75088.0
2023-05-25,11.7,11.97,11.53,11.69,84463.0
2023-05-26,11.64,11.92,11.56,11.87,111156.0
2023-05-29,11.88,12.15,11.86,11.92,117055.0
2023-05-30,11.85,11.94,11.6,11.91,127529.0
2023-05-31,11.89,12.32,11.83,12.31,198746.0
2023-06-01,12.2,12.38,12.1,12.31,162324.0
2023-06-02,12.25,12.38,12.17,12.31,118814.0
2023-06-05,12.12,12.25,12.0,12.09,110778.0
2023-06-06,12.09,12.12,11.61,11.67,118754.0
2023-06-07,11.68,11.82,11.6,11.8,77029.0
2023-06-08,11.8,12.25,11.53,11.96,166854.0
2023-06-09,11.9,12.04,11.76,11.95,110983.0
2023-06-12,11.97,12.15,11.91,12.05,108767.0
2023-06-13,12.02,12.26,11.91,12.24,137134.0
2023-06-14,12.27,12.34,12.04,12.14,121332.0
2023-06-15,12.14,12.28,11.99,12.01,113150.0
2023-06-16,11.98,12.3,11.93,12.23,147246.0
2023-06-19,12.23,12.49,12.23,12.45,156049.0
2023-06-20,12.39,12.93,12.25,12.66,261944.0
2023-06-21,12.58,12.62,12.12,12.27,192168.0
2023-06-26,12.14,12.24,11.76,11.78,113394.0
2023-06-27,11.76,11.94,11.74,11.88,60611.0
2023-06-28,11.9,11.91,11.31,11.55,108102.0
2023-06-29,11.5,11.76,11.43,11.68,68487.0
2023-06-30,11.67,12.07,11.65,12.0,112800.0
2023-07-03,12.07,12.21,11.9,11.98,100681.0
2023-07-04,11.95,12.21,11.95,12.21,100962.0
2023-07-05,12.18,12.26,12.01,12.03,94371.0
2023-07-06,11.96,12.3,11.95,12.17,106681.0
2023-07-07,12.18,12.2,11.84,11.98,101164.0
2023-07-10,12.0,12.05,11.76,11.83,75748.0
2023-07-11,11.8,12.13,11.8,12.05,98388.0
2023-07-12,12.08,12.11,11.8,11.81,87067.0
2023-07-13,11.82,12.28,11.82,12.24,206251.0
2023-07-14,12.22,12.33,12.1,12.16,136415.0
2023-07-17,12.2,12.46,12.16,12.42,194394.0
2023-07-18,12.44,12.66,12.33,12.37,212306.0
2023-07-19,12.28,12.48,12.16,12.19,104606.0
2023-07-20,12.25,12.28,11.82,11.87,126007.0
2023-07-21,11.84,11.97,11.76,11.88,77861.0
2023-07-24,11.8,12.17,11.78,11.95,78662.0
2023-07-25,12.0,12.18,11.95,12.17,87134.0
2023-07-26,12.11,12.12,11.91,11.96,67206.0
2023-07-27,12.03,12.84,12.0,12.21,165636.0
2023-07-28,12.05,12.24,11.9,12.2,118214.0
2023-07-31,12.2,12.28,12.13,12.23,87708.0
2023-08-01,12.21,12.24,12.12,12.18,66439.0
2023-08-02,12.18,12.2,12.11,12.14,52451.0
2023-08-03,12.05,12.18,12.03,12.16,47151.0
2023-08-04,12.2,12.27,12.13,12.17,67582.0
2023-08-07,12.14,12.24,12.09,12.13,58049.0
2023-08-08,12.1,12.14,11.54,11.94,81812.0
2023-08-09,11.9,11.93,11.76,11.82,47318.0
2023-08-10,11.76,11.86,11.7,11.75,44354.0
2023-08-11,11.75,11.76,11.56,11.56,44977.0
2023-08-14,11.36,11.52,11.33,11.46,42243.0
2023-08-15,11.45,11.5,11.11,11.2,58872.0
2023-08-16,11.16,11.23,10.9,10.91,52121.0
2023-08-17,10.89,11.05,10.71,11.0,67358.0
2023-08-18,10.98,11.11,10.68,10.68,65045.0
2023-08-21,10.81,10.88,10.64,10.65,53285.0
2023-08-22,10.68,10.79,10.51,10.77,69007.0
2023-08-23,10.74,10.83,10.57,10.66,46482.0
2023-08-24,10.74,10.76,10.54,10.66,51129.0
2023-08-25,10.59,10.59,10.19,10.19,77209.0
2023-08-28,10.66,10.76,10.3,10.36,106129.0
2023-08-29,10.37,10.66,10.36,10.59,77215.0
2023-08-30,10.64,10.91,10.63,10.78,81658.0
2023-08-31,10.74,10.87,10.7,10.84,60750.0
2023-09-01,10.8,10.93,10.72,10.8,39052.0
2023-09-04,10.81,10.95,10.78,10.95,51850.0
2023-09-05,10.94,11.08,10.9,11.02,64369.0
2023-09-06,10.94,11.35,10.94,11.33,105059.0
2023-09-07,11.25,11.27,11.02,11.04,86044.0
2023-09-08,10.98,11.21,10.96,11.14,52397.0
2023-09-11,11.21,11.29,11.06,11.23,61828.0
2023-09-12,11.24,11.38,11.19,11.29,51247.0
2023-09-13,11.24,11.29,10.99,11.05,60545.0
2023-09-14,11.09,11.13,10.85,10.86,47649.0
2023-09-15,10.91,11.05,10.76,10.95,53185.0
2023-09-18,10.92,11.04,10.8,10.91,41210.0
2023-09-19,10.87,10.91,10.7,10.72,33878.0
2023-09-20,10.75,10.85,10.65,10.66,30763.0
2023-09-21,10.66,10.82,10.61,10.71,44141.0
2023-09-22,10.64,10.96,10.63,10.93,83700.0
2023-09-25,10.96,11.03,10.73,10.8,61736.0
2023-09-26,10.77,10.79,10.64,10.65,48675.0
2023-09-27,10.74,10.84,10.58,10.58,66515.0
2023-09-28,10.59,10.94,10.59,10.87,106064.0
2023-10-09,10.76,10.79,9.91,10.28,357688.0
2023-10-10,10.29,11.15,10.28,10.69,354237.0
2023-10-11,10.72,11.09,10.44,10.97,266852.0
2023-10-12,10.97,11.13,10.86,11.07,183219.0
2023-10-13,11.07,11.34,10.94,11.31,217713.0
2023-10-16,11.32,11.41,10.87,10.95,203793.0
2023-10-17,10.98,11.04,10.65,10.72,166583.0
2023-10-18,10.67,10.75,10.49,10.5,108686.0
2023-10-19,10.51,10.89,10.45,10.48,172021.0
2023-10-20,10.38,10.53,9.99,10.03,169421.0
2023-10-23,10.0,10.04,9.44,9.53,180676.0
2023-10-24,9.65,9.89,9.5,9.8,174131.0
2023-10-25,9.8,10.0,9.75,9.9,124732.0
2023-10-26,9.83,10.09,9.7,10.08,130479.0
2023-10-27,9.99,10.38,9.97,10.34,154241.0
2023-10-30,10.37,10.91,10.16,10.76,315172.0
2023-10-31,10.8,11.05,10.53,10.59,187459.0
2023-11-01,10.56,10.71,10.43,10.48,108724.0
2023-11-02,10.46,10.57,10.22,10.24,101003.0
2023-11-03,10.25,10.85,10.24,10.75,169336.0
2023-11-06,10.78,10.99,10.75,10.87,113740.0
2023-11-07,10.82,11.13,10.78,11.04,141138.0
2023-11-08,11.03,11.08,10.83,10.92,124540.0
2023-11-09,10.91,11.03,10.75,10.85,107746.0
2023-11-10,10.71,11.03,10.71,10.92,120639.0
2023-11-13,10.96,11.18,10.96,11.11,132087.0
2023-11-14,11.06,11.29,10.99,11.23,137724.0
2023-11-15,11.29,11.38,11.2,11.27,124890.0
2023-11-16,11.27,11.4,11.16,11.2,113447.0
2023-11-17,11.17,11.38,11.15,11.32,98258.0
2023-11-20,11.35,11.54,11.34,11.49,145919.0
2023-11-21,11.5,11.6,11.16,11.17,150423.0
2023-11-22,11.17,11.25,10.98,11.01,141346.0
2023-11-23,11.02,11.18,10.91,11.17,90402.0
2023-11-24,11.16,11.17,10.91,10.97,92215.0
2023-11-27,11.01,11.35,10.95,11.1,122406.0
2023-11-28,11.11,11.24,11.03,11.15,102039.0
2023-11-29,11.19,11.59,11.16,11.37,259198.0
2023-11-30,11.37,11.47,10.97,11.11,215292.0
2023-12-01,11.3,11.38,11.0,11.19,169643.0
2023-12-04,11.27,11.27,10.98,11.07,110482.0
2023-12-05,11.06,11.06,10.57,10.62,191618.0
2023-12-06,10.58,10.73,10.52,10.6,95732.0
2023-12-07,10.62,10.69,10.47,10.53,80431.0
2023-12-08,10.55,10.92,10.54,10.64,133240.0
2023-12-11,10.62,10.83,10.48,10.83,112402.0
2023-12-12,10.85,10.88,10.72,10.77,85817.0
2023-12-13,10.76,10.77,10.6,10.6,67371.0
2023-12-14,10.67,10.73,10.5,10.52,72983.0
2023-12-15,10.53,10.58,10.37,10.41,72670.0
2023-12-18,10.38,10.41,10.17,10.23,70721.0
2023-12-19,10.18,10.37,10.17,10.34,59455.0
2023-12-20,10.31,10.34,10.07,10.09,79836.0
2023-12-21,10.03,10.26,9.94,10.2,72699.0
2023-12-22,10.17,10.23,9.97,10.01,81354.0
2023-12-25,10.05,10.14,9.98,10.01,54997.0
2023-12-26,10.07,10.09,9.66,9.74,81406.0
2023-12-27,9.72,9.89,9.72,9.86,59555.0
2023-12-28,9.85,10.15,9.76,10.1,79868.0
2023-12-29,10.12,10.45,10.12,10.44,110773.0
2024-01-02,10.48,10.51,10.31,10.34,70802.0
2024-01-03,10.27,10.34,10.0,10.09,108213.0
2024-01-04,10.09,10.18,10.0,10.1,122777.0
2024-01-05,10.1,10.19,9.82,9.9,96791.0
2024-01-08,9.82,9.88,9.53,9.55,110902.0
2024-01-09,9.74,9.75,9.48,9.58,78988.0
2024-01-10,9.56,9.57,9.28,9.43,74802.0
2024-01-11,9.4,9.6,9.38,9.56,72047.0
2024-01-12,9.5,9.58,9.36,9.4,73231.0
2024-01-15,9.37,9.48,9.22,9.36,75582.0
2024-01-16,9.36,9.36,9.0,9.16,112020.0
2024-01-17,9.11,9.15,8.84,8.84,84978.0
2024-01-18,8.8,8.95,8.5,8.83,134098.0
2024-01-19,8.79,8.89,8.68,8.68,69716.0
2024-01-22,8.7,8.74,8.0,8.07,139177.0
2024-01-23,8.08,8.19,7.93,8.13,119013.0
2024-01-24,8.16,8.26,7.77,8.15,133991.0
2024-01-25,8.13,8.61,8.07,8.6,135627.0
2024-01-26,8.6,8.68,8.43,8.46,88258.0
2024-01-29,8.47,8.54,8.08,8.12,97820.0
2024-01-30,8.05,8.11,7.7,7.76,110805.0
2024-01-31,6.98,7.12,6.98,6.98,130109.0
2024-02-01,6.55,6.99,6.41,6.81,294497.0
2024-02-02,6.9,7.14,6.25,6.52,256783.0
2024-02-05,6.57,6.6,5.87,5.87,259958.0
2024-02-06,5.54,6.1,5.29,5.86,300328.0
2024-02-07,5.94,6.13,5.76,6.0,277570.0
2024-02-08,5.96,6.6,5.96,6.6,216754.0
2024-02-19,6.8,6.86,6.57,6.79,274844.0
2024-02-20,6.82,6.82,6.56,6.8,161560.0
2024-02-21,6.64,7.15,6.63,6.9,189428.0
2024-02-22,6.87,7.14,6.85,7.09,134085.0
2024-02-23,7.13,7.42,7.11,7.38,173290.0
2024-02-26,7.39,7.68,7.3,7.49,176419.0
2024-02-27,7.46,8.02,7.42,8.02,212577.0
2024-02-28,8.09,8.15,7.22,7.22,323879.0
2024-02-29,7.06,7.6,7.06,7.6,194109.0
2024-03-01,7.64,7.83,7.57,7.73,160545.0
2024-03-04,7.76,7.85,7.51,7.73,168639.0
2024-03-05,7.67,7.93,7.61,7.76,173759.0
2024-03-06,7.76,7.85,7.52,7.73,154739.0
2024-03-07,7.79,7.83,7.54,7.55,125587.0
2024-03-08,7.53,7.79,7.46,7.77,116961.0
2024-03-11,7.71,7.79,7.59,7.79,120217.0
2024-03-12,7.82,7.98,7.74,7.9,145910.0
2024-03-13,7.91,7.99,7.84,7.89,114643.0
2024-03-14,7.83,7.89,7.63,7.75,125358.0
2024-03-15,7.72,7.85,7.63,7.85,102180.0
2024-03-18,7.96,8.07,7.89,8.07,154357.0
2024-03-19,8.07,8.25,8.03,8.11,158261.0
2024-03-20,8.13,8.22,8.07,8.18,121568.0
2024-03-21,8.25,8.38,8.16,8.28,206545.0
2024-03-22,8.27,9.11,8.24,8.96,774738.0
2024-03-25,8.63,8.65,8.06,8.06,620443.0
2024-03-26,8.03,8.87,8.03,8.87,648934.0
2024-03-27,8.99,9.27,8.6,8.6,882235.0
2024-03-28,8.47,8.89,8.28,8.82,540443.0
2024-03-29,8.7,8.74,8.39,8.6,365022.0
2024-04-01,8.59,8.85,8.42,8.83,344478.0
2024-04-02,8.84,9.18,8.58,9.06,473384.0
2024-04-03,8.91,9.29,8.7,9.11,417411.0
2024-04-08,9.0,9.13,8.3,8.59,303876.0
2024-04-09,8.6,8.73,8.3,8.44,218468.0
2024-04-10,8.38,8.38,7.68,7.78,344022.0
2024-04-11,7.65,7.9,7.5,7.74,180931.0
2024-04-12,7.74,8.04,7.68,7.69,174355.0
2024-04-15,7.59,7.7,6.97,7.08,257947.0
2024-04-16,6.98,7.07,6.45,6.52,233518.0
2024-04-17,6.66,7.17,6.66,7.15,207761.0
2024-04-18,7.15,7.22,6.95,7.03,162717.0
2024-04-19,6.99,7.03,6.74,6.81,162174.0
2024-04-22,6.8,6.83,6.49,6.75,122679.0
2024-04-23,6.85,6.94,6.8,6.88,116375.0
2024-04-24,6.88,7.57,6.85,7.44,265917.0
2024-04-25,7.43,7.45,7.26,7.3,187430.0
2024-04-26,7.28,7.64,7.26,7.57,173483.0
2024-04-29,7.59,7.99,7.59,7.95,200519.0
2024-04-30,7.99,8.35,7.85,7.95,238545.0
2024-05-06,8.05,8.12,7.82,7.87,193252.0
2024-05-07,7.83,8.03,7.82,7.96,124361.0
2024-05-08,7.94,7.98,7.81,7.85,111496.0
2024-05-09,7.89,8.05,7.84,7.99,123207.0
2024-05-10,7.99,8.02,7.7,7.75,129444.0
2024-05-13,7.67,7.71,7.5,7.51,120537.0
2024-05-14,7.59,7.72,7.45,7.53,98077.0
2024-05-15,7.5,7.6,7.38,7.48,77791.0
2024-05-16,7.51,7.75,7.51,7.64,119497.0
2024-05-17,7.65,7.89,7.59,7.89,107317.0
2024-05-20,7.9,7.94,7.81,7.91,102962.0
2024-05-21,7.88,7.91,7.74,7.86,101639.0
2024-05-22,7.9,8.02,7.84,7.99,134638.0
2024-05-23,7.98,7.98,7.75,7.82,103531.0
2024-05-24,7.82,7.89,7.58,7.59,103586.0
2024-05-27,7.65,7.65,7.21,7.55,146982.0
2024-05-28,7.51,7.69,7.4,7.42,123479.0
2024-05-29,7.4,7.54,7.39,7.42,96648.0
2024-05-30,7.35,7.58,7.27,7.47,123049.0
2024-05-31,7.5,7.72,7.45,7.56,124191.0
