日期,动作,净值,本次金额,买入份额,现金,总权益,赎回份额,持仓天数,笔笔盈亏
2021-05-13,买入(金叉),0.9984,1.0,1.001602564102564,-0.0005,0.9995,,,
2021-07-07,卖出(死叉),1.2188,1.2207532051282053,,1.2196428285256413,1.2196428285256413,1.001602564102564,55.0,0.2207532051282053
2021-08-05,买入(金叉),1.2687,1.2196428285256413,0.9613327252507617,-0.0006098214142628206,1.2190330071113784,,,
2021-08-12,卖出(死叉),1.2633,1.2144516318092875,,1.21323458457912,1.21323458457912,0.9613327252507617,7.0,-0.005191196716353819
2021-09-28,买入(金叉),1.1398,1.21323458457912,1.064427605351044,-0.00060661729228956,1.2126279672868303,,,
2021-12-02,卖出(死叉),1.1882,1.2647528806781103,,1.2635138869454816,1.2635138869454816,1.064427605351044,65.0,0.05151829609899039
2022-01-19,买入(金叉),1.0495,1.2635138869454816,1.2039198541643463,-0.0006317569434727408,1.2628821300020088,,,
2022-01-27,卖出(死叉),1.0211,1.229322563087214,,1.2280761448621975,1.2280761448621975,1.2039198541643463,8.0,-0.03419132385826762
2022-02-22,买入(金叉),1.0088,1.2280761448621975,1.2173633474050334,-0.0006140380724310988,1.2274621067897664,,,
2022-03-10,卖出(死叉),0.9742,1.1859553730419834,,1.1847483572830313,1.1847483572830313,1.2173633474050334,16.0,-0.04212077182021412
2022-03-24,买入(金叉),0.9561,1.1847483572830313,1.2391469064773888,-0.0005923741786415156,1.1841559831043897,,,
2022-03-30,卖出(死叉),0.9419,1.1496451841428865,,1.1484779873721735,1.1484779873721735,1.2391469064773888,6.0,-0.017595886071978928
2022-05-06,买入(金叉),0.8472,1.1484779873721735,1.3556161324034155,-0.0005742389936860868,1.1479037483784875,,,
2022-06-20,卖出(死叉),0.9978,1.352633776912128,,1.3513832210299859,1.3513832210299859,1.3556161324034155,45.0,0.2041557895399544
2022-07-28,买入(金叉),1.0447,1.3513832210299859,1.293561042433221,-0.0006756916105149929,1.3507075294194708,,,
2022-08-22,卖出(死叉),1.085,1.4035137310400447,,1.4021362825640096,1.4021362825640096,1.293561042433221,25.0,0.05213051001005886
2022-10-18,买入(金叉),0.9796,1.4021362825640096,1.4313355273213655,-0.0007010681412820048,1.4014352144227276,,,
2022-11-17,卖出(死叉),0.9349,1.3381555844927446,,1.3367854385592162,1.3367854385592162,1.4313355273213655,30.0,-0.06398069807126494
2023-01-03,买入(金叉),0.8431,1.3367854385592162,1.5855597658156995,-0.0006683927192796081,1.3361170458399365,,,
2023-02-13,卖出(死叉),0.853,1.3524824802407915,,1.3511378462813914,1.3511378462813914,1.5855597658156995,41.0,0.015697041681575374
2023-03-13,买入(金叉),0.7752,1.3511378462813914,1.7429538780719704,-0.0006755689231406957,1.3504622773582506,,,
2023-04-19,卖出(死叉),0.7622,1.328479445866456,,1.3271396372203819,1.3271396372203819,1.7429538780719704,37.0,-0.022658400414935498
2023-05-26,买入(金叉),0.6962,1.3271396372203819,1.9062620471421743,-0.000663569818610191,1.3264760674017717,,,
2023-06-29,卖出(死叉),0.7182,1.3690774022575094,,1.3677292937377705,1.3677292937377705,1.9062620471421743,34.0,0.04193776503712754
2023-08-02,买入(金叉),0.6291,1.3677292937377705,2.174104742867224,-0.0006838646468688852,1.3670454290909015,,,
2023-08-15,卖出(死叉),0.6093,1.3246820198289995,,1.323335814172216,1.323335814172216,2.174104742867224,13.0,-0.043047273908771055
2023-08-31,买入(金叉),0.5886,1.323335814172216,2.24827695238229,-0.0006616679070861081,1.32267414626513,,,
2023-09-15,卖出(死叉),0.5543,1.2462199147055035,,1.2449351368410646,1.2449351368410646,2.24827695238229,15.0,-0.07711589946671249
2023-10-09,买入(金叉),0.5672,1.2449351368410646,2.1948785910456006,-0.0006224675684205324,1.2443126692726443,,,
2023-10-24,卖出(死叉),0.5231,1.1481409909759537,,1.1469444529120452,1.1469444529120452,2.1948785910456006,15.0,-0.09679414586511115
2023-11-01,买入(金叉),0.5239,1.1469444529120452,2.189243086298998,-0.0005734722264560226,1.146370980685589,,,
2023-11-23,卖出(死叉),0.5455,1.1942321035761034,,1.1930615152978592,1.1930615152978592,2.189243086298998,22.0,0.04728765066405827
2024-01-03,买入(金叉),0.5179,1.1930615152978592,2.303652279007258,-0.0005965307576489297,1.1924649845402102,,,
2024-01-05,卖出(死叉),0.5031,1.1415829496450234,,1.1404156274125519,1.1404156274125519,2.303652279007258,2.0,-0.034094053729307516
2024-02-19,买入(金叉),0.4732,1.1404156274125519,2.4100076657069986,-0.000570207813706276,1.1398454195988457,,,
2024-03-19,卖出(死叉),0.5368,1.293692114951517,,1.292475061080335,1.292475061080335,2.4100076657069986,29.0,0.15327648753896517
2024-04-26,买入(金叉),0.5231,1.292475061080335,2.4707991991595013,-0.0006462375305401675,1.2918288235497948,,,
2024-05-21,卖出(死叉),0.5318,1.313971014113023,,1.312667791075426,1.312667791075426,2.4707991991595013,25.0,0.02149595303268792
2024-06-06,买入(金叉),0.5131,1.312667791075426,2.5583079147835237,-0.000656333895537713,1.3120114571798884,,,
2024-06-26,卖出(死叉),0.4995,1.27787480343437,,1.2765795321371152,1.2765795321371152,2.5583079147835237,20.0,-0.034792987641055984
2024-07-15,买入(金叉),0.5155,1.2765795321371152,2.476390944979855,-0.0006382897660685575,1.2759412423710466,,,
2024-08-07,卖出(死叉),0.4617,1.1433496992971992,,1.1421397346814819,1.1421397346814819,2.476390944979855,23.0,-0.13322983283991596
2024-09-25,买入(金叉),0.4523,1.1421397346814819,2.525181814462706,-0.000571069867340741,1.1415686648141412,,,
2024-10-28,卖出(死叉),0.5696,1.4383435615179574,,1.4370533198698576,1.4370533198698576,2.525181814462706,33.0,0.2962038268364755
2024-12-26,买入(金叉),0.5239,1.4370533198698576,2.742991639377472,-0.0007185266599349288,1.4363347932099226,,,
2025-01-03,卖出(死叉),0.4668,1.2804284972614037,,1.279069756352838,1.279069756352838,2.742991639377472,8.0,-0.1566248226084539
2025-01-21,买入(金叉),0.5351,1.279069756352838,2.390337799201715,-0.0006395348781764189,1.2784302214746615,,,
2025-03-10,卖出(死叉),0.5374,1.2845675332910018,,1.2832857146461798,1.2832857146461798,2.390337799201715,48.0,0.00549777693816389
2025-04-17,买入(金叉),0.439,1.2832857146461798,2.9232020834764914,-0.0006416428573230899,1.2826440717888568,,,
2025-05-20,卖出(死叉),0.5001,1.4618933619465933,,1.460520772408297,1.460520772408297,2.9232020834764914,33.0,0.17860764730041345
2025-06-09,买入(金叉),0.5315,1.460520772408297,2.747922431624265,-0.0007302603862041485,1.4597905120220929,,,
2025-06-18,卖出(死叉),0.5408,1.4860764510224025,,1.4846031524106873,1.4846031524106873,2.747922431624265,9.0,0.02555567861410557
2025-06-26,买入(金叉),0.5392,1.4846031524106873,2.7533441253907407,-0.0007423015762053436,1.4838608508344822,,,
2025-08-11,卖出(死叉),0.6579,1.8114251000945685,,1.8097770859683158,1.8097770859683158,2.7533441253907407,46.0,0.32682194768388095
2025-08-15,买入(金叉),0.7039,1.8097770859683158,2.571071297014229,-0.0009048885429841579,1.8088721974253317,,,
2025-09-09,卖出(死叉),0.7737,1.9892378624999092,,1.9873383550256751,1.9873383550256751,2.571071297014229,25.0,0.17946077653159342
2025-09-24,买入(金叉),0.8484,1.9873383550256751,2.342454449582361,-0.0009936691775128375,1.9863446858481626,,,
2025-10-14,卖出(死叉),0.7693,1.8020502080637104,,1.8001555137821659,1.8001555137821659,2.342454449582361,20.0,-0.18528814696196494
2025-12-04,买入(金叉),0.7821,1.8001555137821659,2.301694813683884,-0.000900077756891083,1.7992554360252748,,,
2026-01-30,卖出(死叉),1.0719,2.4671866707877554,,2.4650529996954704,2.4650529996954704,2.301694813683884,57.0,0.6670311570055896
2026-04-08,买入(金叉),1.1087,2.4650529996954704,2.223372417872707,-0.0012325264998477353,2.463820473195623,,,
2026-05-28,卖出(死叉),1.5975,3.551837437551649,,3.5488289923330254,3.5488289923330254,2.223372417872707,50.0,1.0867844378561786
2026-06-22,买入(金叉),1.8225,3.5488289923330254,1.9472312715133198,-0.0017744144961665128,3.547054577836859,,,
2026-07-09,卖出(死叉),1.6739,3.2594704253861457,,3.256066275677286,3.256066275677286,1.9472312715133198,17.0,-0.28935856694687967
2026-08-12,买入(金叉),1.4209,3.256066275677286,2.291552027361029,-0.0016280331378386431,3.2544382425394476,,,
