entry_date,code,entry_mom%,exit_date,hold_days,return%
2022-07-01,561800,21.96,2022-07-04,3,1.96
2022-07-04,159892,22.18,2022-07-06,2,0.52
2022-07-06,561910,16.5,2022-07-07,1,4.81
2022-07-07,159796,25.1,2022-07-11,4,-6.19
2022-07-11,159892,16.84,2022-07-12,1,-2.35
2022-07-12,513200,14.02,2022-07-13,1,0.47
2022-07-13,159864,14.55,2022-07-14,1,3.55
2022-07-14,159892,18.58,2022-07-15,1,-3.32
2022-07-15,513200,12.56,2022-07-19,4,-0.88
2022-07-19,516180,9.75,2022-07-20,1,-0.19
2022-07-20,512670,13.85,2022-07-21,1,-1.94
2022-07-21,513200,8.24,2022-07-22,1,-0.56
2022-07-22,513300,6.14,2022-07-25,3,-1.26
2022-07-25,513000,2.89,2022-07-26,1,-0.34
2022-07-26,513300,2.73,2022-07-27,1,-0.14
2022-07-27,159864,8.26,2022-07-28,1,0.04
2022-07-28,513300,8.18,2022-08-02,5,2.19
2022-08-02,159845,181.74,2022-08-30,28,-0.24
2022-08-30,513360,13.96,2022-09-01,2,-3.83
2022-09-01,159930,14.21,2022-09-05,4,4.74
2022-09-05,512100,160.87,2022-09-14,9,0.54
2022-09-14,560010,165.63,2022-10-19,35,-5.36
2022-10-19,159797,7.83,2022-10-21,2,0.80
2022-10-21,159898,12.64,2022-10-24,3,-2.32
2022-10-24,159797,12.41,2022-10-25,1,-3.28
2022-10-25,159898,9.67,2022-10-26,1,3.83
2022-10-26,512290,16.97,2022-10-27,1,-0.53
2022-10-27,562390,18.54,2022-10-28,1,-3.79
2022-10-28,512290,17.08,2022-10-31,3,-0.13
2022-10-31,159633,111.78,2022-11-14,14,4.77
2022-11-14,159629,117.84,2022-12-12,28,0.91
2022-12-12,159605,21.64,2022-12-13,1,-0.05
2022-12-13,159792,14.91,2022-12-15,2,-3.33
2022-12-15,512690,14.08,2022-12-16,1,0.42
2022-12-16,159766,15.66,2022-12-20,4,-4.41
2022-12-20,562510,15.86,2022-12-21,1,1.76
2022-12-21,513360,20.13,2023-01-03,13,-3.69
2023-01-03,159985,9.27,2023-01-04,1,-2.08
2023-01-04,513360,13.84,2023-01-05,1,-0.96
2023-01-05,513120,13.89,2023-01-06,1,-0.82
2023-01-06,513360,11.52,2023-01-16,10,4.66
2023-01-16,513120,16.56,2023-01-19,3,-2.12
2023-01-19,159748,20.8,2023-01-30,11,-1.76
2023-01-30,159857,20.61,2023-01-31,1,1.14
2023-01-31,516000,15.87,2023-02-01,1,1.95
2023-02-01,515400,18.33,2023-02-02,1,-0.74
2023-02-02,159852,18.7,2023-02-03,1,1.53
2023-02-03,516860,19.79,2023-02-06,3,0.75
2023-02-06,516630,19.57,2023-02-07,1,-0.26
2023-02-07,159869,17.16,2023-02-08,1,-2.34
2023-02-08,562500,15.57,2023-02-09,1,1.43
2023-02-09,159770,16.02,2023-02-10,1,-0.64
2023-02-10,562500,15.37,2023-02-13,3,0.68
2023-02-13,510100,21.46,2023-02-15,2,-0.48
2023-02-15,516510,20.55,2023-02-16,1,-1.45
2023-02-16,510100,19.62,2023-03-01,13,0.90
2023-03-01,159845,35.32,2023-03-29,28,-2.62
2023-03-29,159869,20.06,2023-03-30,1,-0.23
2023-03-30,588290,17.92,2023-03-31,1,1.12
2023-03-31,159869,27.66,2023-04-20,20,15.68
